dgns_cd,description,hccesrdv21,hcc22,hccrxv05,hccesrd,hcc,hccrx,fyear
G43519,"Persistent migraine aura without cerebral infarction, intractable, without status migrainosus",,,166,No,No,Yes,2018
G43601,"Persistent migraine aura with cerebral infarction, not intractable, with status migrainosus",,,166,No,No,Yes,2018
G43609,"Persistent migraine aura with cerebral infarction, not intractable, without status migrainosus",,,166,No,No,Yes,2018
G43611,"Persistent migraine aura with cerebral infarction, intractable, with status migrainosus",,,166,No,No,Yes,2018
G43619,"Persistent migraine aura with cerebral infarction, intractable, without status migrainosus",,,166,No,No,Yes,2018
G43701,"Chronic migraine without aura, not intractable, with status migrainosus",,,166,No,No,Yes,2018
G43709,"Chronic migraine without aura, not intractable, without status migrainosus",,,166,No,No,Yes,2018
G43711,"Chronic migraine without aura, intractable, with status migrainosus",,,166,No,No,Yes,2018
G43719,"Chronic migraine without aura, intractable, without status migrainosus",,,166,No,No,Yes,2018
G43801,"Other migraine, not intractable, with status migrainosus",,,166,No,No,Yes,2018
G43809,"Other migraine, not intractable, without status migrainosus",,,166,No,No,Yes,2018
G43811,"Other migraine, intractable, with status migrainosus",,,166,No,No,Yes,2018
G43819,"Other migraine, intractable, without status migrainosus",,,166,No,No,Yes,2018
G43821,"Menstrual migraine, not intractable, with status migrainosus",,,166,No,No,Yes,2018
G43829,"Menstrual migraine, not intractable, without status migrainosus",,,166,No,No,Yes,2018
G43831,"Menstrual migraine, intractable, with status migrainosus",,,166,No,No,Yes,2018
G43839,"Menstrual migraine, intractable, without status migrainosus",,,166,No,No,Yes,2018
G43901,"Migraine, unspecified, not intractable, with status migrainosus",,,166,No,No,Yes,2018
G43909,"Migraine, unspecified, not intractable, without status migrainosus",,,166,No,No,Yes,2018
G43911,"Migraine, unspecified, intractable, with status migrainosus",,,166,No,No,Yes,2018
G43919,"Migraine, unspecified, intractable, without status migrainosus",,,166,No,No,Yes,2018
G43A0,"Cyclical vomiting, not intractable",,,166,No,No,Yes,2018
G43A1,"Cyclical vomiting, intractable",,,166,No,No,Yes,2018
G43B0,"Ophthalmoplegic migraine, not intractable",,,166,No,No,Yes,2018
G43B1,"Ophthalmoplegic migraine, intractable",,,166,No,No,Yes,2018
G43C0,"Periodic headache syndromes in child or adult, not intractable",,,166,No,No,Yes,2018
G43C1,"Periodic headache syndromes in child or adult, intractable",,,166,No,No,Yes,2018
G43D0,"Abdominal migraine, not intractable",,,166,No,No,Yes,2018
G43D1,"Abdominal migraine, intractable",,,166,No,No,Yes,2018
G450,Vertebro-basilar artery syndrome,,,206,No,No,Yes,2018
G451,Carotid artery syndrome (hemispheric),,,206,No,No,Yes,2018
G452,Multiple and bilateral precerebral artery syndromes,,,206,No,No,Yes,2018
G458,Other transient cerebral ischemic attacks and related syndromes,,,206,No,No,Yes,2018
G459,"Transient cerebral ischemic attack, unspecified",,,206,No,No,Yes,2018
G460,Middle cerebral artery syndrome,,,206,No,No,Yes,2018
G461,Anterior cerebral artery syndrome,,,206,No,No,Yes,2018
G462,Posterior cerebral artery syndrome,,,206,No,No,Yes,2018
G463,Brain stem stroke syndrome,,,206,No,No,Yes,2018
G464,Cerebellar stroke syndrome,,,206,No,No,Yes,2018
G465,Pure motor lacunar syndrome,,,206,No,No,Yes,2018
G466,Pure sensory lacunar syndrome,,,206,No,No,Yes,2018
G467,Other lacunar syndromes,,,206,No,No,Yes,2018
G468,Other vascular syndromes of brain in cerebrovascular diseases,,,206,No,No,Yes,2018
G47411,Narcolepsy with cataplexy,,,355,No,No,Yes,2018
G47419,Narcolepsy without cataplexy,,,355,No,No,Yes,2018
G47421,Narcolepsy in conditions classified elsewhere with cataplexy,,,355,No,No,Yes,2018
G47429,Narcolepsy in conditions classified elsewhere without cataplexy,,,355,No,No,Yes,2018
G500,Trigeminal neuralgia,,,168,No,No,Yes,2018
G501,Atypical facial pain,,,168,No,No,Yes,2018
G508,Other disorders of trigeminal nerve,,,168,No,No,Yes,2018
G509,"Disorder of trigeminal nerve, unspecified",,,168,No,No,Yes,2018
G546,Phantom limb syndrome with pain,189,189,,Yes,Yes,No,2018
G547,Phantom limb syndrome without pain,189,189,,Yes,Yes,No,2018
G600,Hereditary motor and sensory neuropathy,75,,,Yes,No,No,2018
G601,Refsum's disease,75,,,Yes,No,No,2018
G602,Neuropathy in association with hereditary ataxia,75,,,Yes,No,No,2018
G603,Idiopathic progressive neuropathy,75,,,Yes,No,No,2018
G608,Other hereditary and idiopathic neuropathies,75,,,Yes,No,No,2018
G609,"Hereditary and idiopathic neuropathy, unspecified",75,,,Yes,No,No,2018
G610,Guillain-Barre syndrome,75,75,159,Yes,Yes,Yes,2018
G611,Serum neuropathy,75,75,159,Yes,Yes,Yes,2018
G6181,Chronic inflammatory demyelinating polyneuritis,75,75,159,Yes,Yes,Yes,2018
G6182,Multifocal motor neuropathy,75,75,159,Yes,Yes,Yes,2018
G6189,Other inflammatory polyneuropathies,75,75,159,Yes,Yes,Yes,2018
G619,"Inflammatory polyneuropathy, unspecified",75,75,159,Yes,Yes,Yes,2018
G620,Drug-induced polyneuropathy,75,75,159,Yes,Yes,Yes,2018
G621,Alcoholic polyneuropathy,75,75,159,Yes,Yes,Yes,2018
G622,Polyneuropathy due to other toxic agents,75,75,159,Yes,Yes,Yes,2018
G6281,Critical illness polyneuropathy,75,75,159,Yes,Yes,Yes,2018
G6282,Radiation-induced polyneuropathy,75,75,159,Yes,Yes,Yes,2018
G6289,Other specified polyneuropathies,75,,,Yes,No,No,2018
G629,"Polyneuropathy, unspecified",75,,,Yes,No,No,2018
G63,Polyneuropathy in diseases classified elsewhere,75,75,159,Yes,Yes,Yes,2018
G64,Other disorders of peripheral nervous system,75,,,Yes,No,No,2018
G650,Sequelae of Guillain-Barre syndrome,75,75,159,Yes,Yes,Yes,2018
G651,Sequelae of other inflammatory polyneuropathy,75,75,159,Yes,Yes,Yes,2018
G652,Sequelae of toxic polyneuropathy,75,75,159,Yes,Yes,Yes,2018
G7000,Myasthenia gravis without (acute) exacerbation,75,75,156,Yes,Yes,Yes,2018
G7001,Myasthenia gravis with (acute) exacerbation,75,75,156,Yes,Yes,Yes,2018
G701,Toxic myoneural disorders,75,75,156,Yes,Yes,Yes,2018
G702,Congenital and developmental myasthenia,75,75,156,Yes,Yes,Yes,2018
G7080,"Lambert-Eaton syndrome, unspecified",75,75,156,Yes,Yes,Yes,2018
G7081,Lambert-Eaton syndrome in disease classified elsewhere,75,75,156,Yes,Yes,Yes,2018
G7089,Other specified myoneural disorders,75,75,156,Yes,Yes,Yes,2018
G709,"Myoneural disorder, unspecified",75,75,156,Yes,Yes,Yes,2018
G710,Muscular dystrophy,76,76,,Yes,Yes,No,2018
G7111,Myotonic muscular dystrophy,76,76,,Yes,Yes,No,2018
G7112,Myotonia congenita,75,,,Yes,No,No,2018
G7113,Myotonic chondrodystrophy,75,,,Yes,No,No,2018
G7114,Drug induced myotonia,75,,,Yes,No,No,2018
G7119,Other specified myotonic disorders,75,,,Yes,No,No,2018
G712,Congenital myopathies,76,76,,Yes,Yes,No,2018
G713,"Mitochondrial myopathy, not elsewhere classified",75,,,Yes,No,No,2018
G718,Other primary disorders of muscles,75,,,Yes,No,No,2018
G719,"Primary disorder of muscle, unspecified",75,,,Yes,No,No,2018
G720,Drug-induced myopathy,75,,,Yes,No,No,2018
G721,Alcoholic myopathy,75,,,Yes,No,No,2018
G722,Myopathy due to other toxic agents,75,,,Yes,No,No,2018
G723,Periodic paralysis,75,,,Yes,No,No,2018
G7241,Inclusion body myositis [IBM],75,,,Yes,No,No,2018
G7249,"Other inflammatory and immune myopathies, not elsewhere classified",75,,,Yes,No,No,2018
G7281,Critical illness myopathy,75,,,Yes,No,No,2018
G7289,Other specified myopathies,75,,,Yes,No,No,2018
G729,"Myopathy, unspecified",75,,,Yes,No,No,2018
G731,Lambert-Eaton syndrome in neoplastic disease,75,75,156,Yes,Yes,Yes,2018
G733,Myasthenic syndromes in other diseases classified elsewhere,75,75,156,Yes,Yes,Yes,2018
G737,Myopathy in diseases classified elsewhere,75,,,Yes,No,No,2018
G800,Spastic quadriplegic cerebral palsy,74,74,,Yes,Yes,No,2018
G801,Spastic diplegic cerebral palsy,74,74,,Yes,Yes,No,2018
G802,Spastic hemiplegic cerebral palsy,74,74,,Yes,Yes,No,2018
G803,Athetoid cerebral palsy,74,74,,Yes,Yes,No,2018
G804,Ataxic cerebral palsy,74,74,,Yes,Yes,No,2018
G808,Other cerebral palsy,74,74,,Yes,Yes,No,2018
G809,"Cerebral palsy, unspecified",74,74,,Yes,Yes,No,2018
G8100,Flaccid hemiplegia affecting unspecified side,103,103,,Yes,Yes,No,2018
G8101,Flaccid hemiplegia affecting right dominant side,103,103,,Yes,Yes,No,2018
G8102,Flaccid hemiplegia affecting left dominant side,103,103,,Yes,Yes,No,2018
G8103,Flaccid hemiplegia affecting right nondominant side,103,103,,Yes,Yes,No,2018
G8104,Flaccid hemiplegia affecting left nondominant side,103,103,,Yes,Yes,No,2018
G8110,Spastic hemiplegia affecting unspecified side,103,103,207,Yes,Yes,Yes,2018
G8111,Spastic hemiplegia affecting right dominant side,103,103,207,Yes,Yes,Yes,2018
G8112,Spastic hemiplegia affecting left dominant side,103,103,207,Yes,Yes,Yes,2018
G8113,Spastic hemiplegia affecting right nondominant side,103,103,207,Yes,Yes,Yes,2018
G8114,Spastic hemiplegia affecting left nondominant side,103,103,207,Yes,Yes,Yes,2018
G8190,"Hemiplegia, unspecified affecting unspecified side",103,103,,Yes,Yes,No,2018
G8191,"Hemiplegia, unspecified affecting right dominant side",103,103,,Yes,Yes,No,2018
G8192,"Hemiplegia, unspecified affecting left dominant side",103,103,,Yes,Yes,No,2018
G8193,"Hemiplegia, unspecified affecting right nondominant side",103,103,,Yes,Yes,No,2018
G8194,"Hemiplegia, unspecified affecting left nondominant side",103,103,,Yes,Yes,No,2018
G8220,"Paraplegia, unspecified",71,71,,Yes,Yes,No,2018
G8221,"Paraplegia, complete",71,71,,Yes,Yes,No,2018
G8222,"Paraplegia, incomplete",71,71,,Yes,Yes,No,2018
G8250,"Quadriplegia, unspecified",70,70,,Yes,Yes,No,2018
G8251,"Quadriplegia, C1-C4 complete",70,70,,Yes,Yes,No,2018
G8252,"Quadriplegia, C1-C4 incomplete",70,70,,Yes,Yes,No,2018
G8253,"Quadriplegia, C5-C7 complete",70,70,,Yes,Yes,No,2018
G8254,"Quadriplegia, C5-C7 incomplete",70,70,,Yes,Yes,No,2018
G830,Diplegia of upper limbs,104,104,,Yes,Yes,No,2018
G8310,Monoplegia of lower limb affecting unspecified side,104,104,,Yes,Yes,No,2018
G8311,Monoplegia of lower limb affecting right dominant side,104,104,,Yes,Yes,No,2018
G8312,Monoplegia of lower limb affecting left dominant side,104,104,,Yes,Yes,No,2018
G8313,Monoplegia of lower limb affecting right nondominant side,104,104,,Yes,Yes,No,2018
G8314,Monoplegia of lower limb affecting left nondominant side,104,104,,Yes,Yes,No,2018
G8320,Monoplegia of upper limb affecting unspecified side,104,104,,Yes,Yes,No,2018
G8321,Monoplegia of upper limb affecting right dominant side,104,104,,Yes,Yes,No,2018
G8322,Monoplegia of upper limb affecting left dominant side,104,104,,Yes,Yes,No,2018
G8323,Monoplegia of upper limb affecting right nondominant side,104,104,,Yes,Yes,No,2018
G8324,Monoplegia of upper limb affecting left nondominant side,104,104,,Yes,Yes,No,2018
G8330,"Monoplegia, unspecified affecting unspecified side",104,104,,Yes,Yes,No,2018
G8331,"Monoplegia, unspecified affecting right dominant side",104,104,,Yes,Yes,No,2018
G8332,"Monoplegia, unspecified affecting left dominant side",104,104,,Yes,Yes,No,2018
G8333,"Monoplegia, unspecified affecting right nondominant side",104,104,,Yes,Yes,No,2018
G8334,"Monoplegia, unspecified affecting left nondominant side",104,104,,Yes,Yes,No,2018
G834,Cauda equina syndrome,72,72,157,Yes,Yes,Yes,2018
G835,Locked-in state,104,104,,Yes,Yes,No,2018
G8381,Brown-Sequard syndrome,104,104,,Yes,Yes,No,2018
G8382,Anterior cord syndrome,104,104,,Yes,Yes,No,2018
G8383,Posterior cord syndrome,104,104,,Yes,Yes,No,2018
G8384,Todd's paralysis (postepileptic),104,104,,Yes,Yes,No,2018
G8389,Other specified paralytic syndromes,104,104,,Yes,Yes,No,2018
G839,"Paralytic syndrome, unspecified",104,104,,Yes,Yes,No,2018
G9001,Carotid sinus syncope,75,,,Yes,No,No,2018
G9009,Other idiopathic peripheral autonomic neuropathy,75,,,Yes,No,No,2018
G901,Familial dysautonomia [Riley-Day],72,72,157,Yes,Yes,Yes,2018
G902,Horner's syndrome,75,,,Yes,No,No,2018
G903,Multi-system degeneration of the autonomic nervous system,78,78,,Yes,Yes,No,2018
G904,Autonomic dysreflexia,75,,,Yes,No,No,2018
G9050,"Complex regional pain syndrome I, unspecified",75,,,Yes,No,No,2018
G90511,Complex regional pain syndrome I of right upper limb,75,,,Yes,No,No,2018
G90512,Complex regional pain syndrome I of left upper limb,75,,,Yes,No,No,2018
G90513,"Complex regional pain syndrome I of upper limb, bilateral",75,,,Yes,No,No,2018
G90519,Complex regional pain syndrome I of unspecified upper limb,75,,,Yes,No,No,2018
G90521,Complex regional pain syndrome I of right lower limb,75,,,Yes,No,No,2018
G90522,Complex regional pain syndrome I of left lower limb,75,,,Yes,No,No,2018
G90523,"Complex regional pain syndrome I of lower limb, bilateral",75,,,Yes,No,No,2018
G90529,Complex regional pain syndrome I of unspecified lower limb,75,,,Yes,No,No,2018
G9059,Complex regional pain syndrome I of other specified site,75,,,Yes,No,No,2018
G908,Other disorders of autonomic nervous system,75,,,Yes,No,No,2018
G909,"Disorder of the autonomic nervous system, unspecified",75,,,Yes,No,No,2018
G910,Communicating hydrocephalus,51,,,Yes,No,No,2018
G911,Obstructive hydrocephalus,51,,,Yes,No,No,2018
G912,(Idiopathic) normal pressure hydrocephalus,51,,,Yes,No,No,2018
G913,"Post-traumatic hydrocephalus, unspecified",51,,,Yes,No,No,2018
G914,Hydrocephalus in diseases classified elsewhere,51,,,Yes,No,No,2018
G918,Other hydrocephalus,51,,,Yes,No,No,2018
G919,"Hydrocephalus, unspecified",51,,,Yes,No,No,2018
G931,"Anoxic brain damage, not elsewhere classified",80,80,,Yes,Yes,No,2018
G935,Compression of brain,80,80,,Yes,Yes,No,2018
G936,Cerebral edema,80,80,,Yes,Yes,No,2018
G937,Reye's syndrome,52,,112,Yes,No,Yes,2018
G950,Syringomyelia and syringobulbia,72,72,157,Yes,Yes,Yes,2018
G9511,Acute infarction of spinal cord (embolic) (nonembolic),72,72,157,Yes,Yes,Yes,2018
G9519,Other vascular myelopathies,72,72,157,Yes,Yes,Yes,2018
G9520,Unspecified cord compression,72,72,157,Yes,Yes,Yes,2018
G9529,Other cord compression,72,72,157,Yes,Yes,Yes,2018
G9581,Conus medullaris syndrome,72,72,157,Yes,Yes,Yes,2018
G9589,Other specified diseases of spinal cord,72,72,157,Yes,Yes,Yes,2018
G959,"Disease of spinal cord, unspecified",72,72,157,Yes,Yes,Yes,2018
G990,Autonomic neuropathy in diseases classified elsewhere,75,,,Yes,No,No,2018
G992,Myelopathy in diseases classified elsewhere,72,72,157,Yes,Yes,Yes,2018
H353210,"Exudative age-related macular degeneration, right eye, stage unspecified",124,124,,Yes,Yes,No,2018
H353211,"Exudative age-related macular degeneration, right eye, with active choroidal neovascularization",124,124,,Yes,Yes,No,2018
H353212,"Exudative age-related macular degeneration, right eye, with inactive choroidal neovascularization",124,124,,Yes,Yes,No,2018
H353213,"Exudative age-related macular degeneration, right eye, with inactive scar",124,124,,Yes,Yes,No,2018
H353220,"Exudative age-related macular degeneration, left eye, stage unspecified",124,124,,Yes,Yes,No,2018
H353221,"Exudative age-related macular degeneration, left eye, with active choroidal neovascularization",124,124,,Yes,Yes,No,2018
H353222,"Exudative age-related macular degeneration, left eye, with inactive choroidal neovascularization",124,124,,Yes,Yes,No,2018
H353223,"Exudative age-related macular degeneration, left eye, with inactive scar",124,124,,Yes,Yes,No,2018
H353230,"Exudative age-related macular degeneration, bilateral, stage unspecified",124,124,,Yes,Yes,No,2018
H353231,"Exudative age-related macular degeneration, bilateral, with active choroidal neovascularization",124,124,,Yes,Yes,No,2018
H353232,"Exudative age-related macular degeneration, bilateral, with inactive choroidal neovascularization",124,124,,Yes,Yes,No,2018
H353233,"Exudative age-related macular degeneration, bilateral, with inactive scar",124,124,,Yes,Yes,No,2018
H353290,"Exudative age-related macular degeneration, unspecified eye, stage unspecified",124,124,,Yes,Yes,No,2018
H353291,"Exudative age-related macular degeneration, unspecified eye, with active choroidal neovascularization",124,124,,Yes,Yes,No,2018
H353292,"Exudative age-related macular degeneration, unspecified eye, with inactive choroidal neovascularization",124,124,,Yes,Yes,No,2018
H353293,"Exudative age-related macular degeneration, unspecified eye, with inactive scar",124,124,,Yes,Yes,No,2018
H4010X0,"Unspecified open-angle glaucoma, stage unspecified",,,243,No,No,Yes,2018
H4010X1,"Unspecified open-angle glaucoma, mild stage",,,243,No,No,Yes,2018
H4010X2,"Unspecified open-angle glaucoma, moderate stage",,,243,No,No,Yes,2018
H4010X3,"Unspecified open-angle glaucoma, severe stage",,,243,No,No,Yes,2018
H4010X4,"Unspecified open-angle glaucoma, indeterminate stage",,,243,No,No,Yes,2018
H401110,"Primary open-angle glaucoma, right eye, stage unspecified",,,243,No,No,Yes,2018
H401111,"Primary open-angle glaucoma, right eye, mild stage",,,243,No,No,Yes,2018
H401112,"Primary open-angle glaucoma, right eye, moderate stage",,,243,No,No,Yes,2018
H401113,"Primary open-angle glaucoma, right eye, severe stage",,,243,No,No,Yes,2018
H401114,"Primary open-angle glaucoma, right eye, indeterminate stage",,,243,No,No,Yes,2018
H401120,"Primary open-angle glaucoma, left eye, stage unspecified",,,243,No,No,Yes,2018
H401121,"Primary open-angle glaucoma, left eye, mild stage",,,243,No,No,Yes,2018
H401122,"Primary open-angle glaucoma, left eye, moderate stage",,,243,No,No,Yes,2018
H401123,"Primary open-angle glaucoma, left eye, severe stage",,,243,No,No,Yes,2018
H401124,"Primary open-angle glaucoma, left eye, indeterminate stage",,,243,No,No,Yes,2018
H401130,"Primary open-angle glaucoma, bilateral, stage unspecified",,,243,No,No,Yes,2018
H401131,"Primary open-angle glaucoma, bilateral, mild stage",,,243,No,No,Yes,2018
H401132,"Primary open-angle glaucoma, bilateral, moderate stage",,,243,No,No,Yes,2018
H401133,"Primary open-angle glaucoma, bilateral, severe stage",,,243,No,No,Yes,2018
H401134,"Primary open-angle glaucoma, bilateral, indeterminate stage",,,243,No,No,Yes,2018
H401190,"Primary open-angle glaucoma, unspecified eye, stage unspecified",,,243,No,No,Yes,2018
H401191,"Primary open-angle glaucoma, unspecified eye, mild stage",,,243,No,No,Yes,2018
H401192,"Primary open-angle glaucoma, unspecified eye, moderate stage",,,243,No,No,Yes,2018
H401193,"Primary open-angle glaucoma, unspecified eye, severe stage",,,243,No,No,Yes,2018
H401194,"Primary open-angle glaucoma, unspecified eye, indeterminate stage",,,243,No,No,Yes,2018
H401210,"Low-tension glaucoma, right eye, stage unspecified",,,243,No,No,Yes,2018
H401211,"Low-tension glaucoma, right eye, mild stage",,,243,No,No,Yes,2018
H401212,"Low-tension glaucoma, right eye, moderate stage",,,243,No,No,Yes,2018
H401213,"Low-tension glaucoma, right eye, severe stage",,,243,No,No,Yes,2018
H401214,"Low-tension glaucoma, right eye, indeterminate stage",,,243,No,No,Yes,2018
H401220,"Low-tension glaucoma, left eye, stage unspecified",,,243,No,No,Yes,2018
H401221,"Low-tension glaucoma, left eye, mild stage",,,243,No,No,Yes,2018
H401222,"Low-tension glaucoma, left eye, moderate stage",,,243,No,No,Yes,2018
H401223,"Low-tension glaucoma, left eye, severe stage",,,243,No,No,Yes,2018
H401224,"Low-tension glaucoma, left eye, indeterminate stage",,,243,No,No,Yes,2018
H401230,"Low-tension glaucoma, bilateral, stage unspecified",,,243,No,No,Yes,2018
H401231,"Low-tension glaucoma, bilateral, mild stage",,,243,No,No,Yes,2018
H401232,"Low-tension glaucoma, bilateral, moderate stage",,,243,No,No,Yes,2018
H401233,"Low-tension glaucoma, bilateral, severe stage",,,243,No,No,Yes,2018
H401234,"Low-tension glaucoma, bilateral, indeterminate stage",,,243,No,No,Yes,2018
H401290,"Low-tension glaucoma, unspecified eye, stage unspecified",,,243,No,No,Yes,2018
H401291,"Low-tension glaucoma, unspecified eye, mild stage",,,243,No,No,Yes,2018
H401292,"Low-tension glaucoma, unspecified eye, moderate stage",,,243,No,No,Yes,2018
H401293,"Low-tension glaucoma, unspecified eye, severe stage",,,243,No,No,Yes,2018
H401294,"Low-tension glaucoma, unspecified eye, indeterminate stage",,,243,No,No,Yes,2018
H401310,"Pigmentary glaucoma, right eye, stage unspecified",,,243,No,No,Yes,2018
H401311,"Pigmentary glaucoma, right eye, mild stage",,,243,No,No,Yes,2018
H401312,"Pigmentary glaucoma, right eye, moderate stage",,,243,No,No,Yes,2018
H401313,"Pigmentary glaucoma, right eye, severe stage",,,243,No,No,Yes,2018
H401314,"Pigmentary glaucoma, right eye, indeterminate stage",,,243,No,No,Yes,2018
H401320,"Pigmentary glaucoma, left eye, stage unspecified",,,243,No,No,Yes,2018
H401321,"Pigmentary glaucoma, left eye, mild stage",,,243,No,No,Yes,2018
H401322,"Pigmentary glaucoma, left eye, moderate stage",,,243,No,No,Yes,2018
H401323,"Pigmentary glaucoma, left eye, severe stage",,,243,No,No,Yes,2018
H401324,"Pigmentary glaucoma, left eye, indeterminate stage",,,243,No,No,Yes,2018
H401330,"Pigmentary glaucoma, bilateral, stage unspecified",,,243,No,No,Yes,2018
H401331,"Pigmentary glaucoma, bilateral, mild stage",,,243,No,No,Yes,2018
H401332,"Pigmentary glaucoma, bilateral, moderate stage",,,243,No,No,Yes,2018
H401333,"Pigmentary glaucoma, bilateral, severe stage",,,243,No,No,Yes,2018
H401334,"Pigmentary glaucoma, bilateral, indeterminate stage",,,243,No,No,Yes,2018
H401390,"Pigmentary glaucoma, unspecified eye, stage unspecified",,,243,No,No,Yes,2018
H401391,"Pigmentary glaucoma, unspecified eye, mild stage",,,243,No,No,Yes,2018
H401392,"Pigmentary glaucoma, unspecified eye, moderate stage",,,243,No,No,Yes,2018
H401393,"Pigmentary glaucoma, unspecified eye, severe stage",,,243,No,No,Yes,2018
H401394,"Pigmentary glaucoma, unspecified eye, indeterminate stage",,,243,No,No,Yes,2018
H40151,"Residual stage of open-angle glaucoma, right eye",,,243,No,No,Yes,2018
H40152,"Residual stage of open-angle glaucoma, left eye",,,243,No,No,Yes,2018
H40153,"Residual stage of open-angle glaucoma, bilateral",,,243,No,No,Yes,2018
H40159,"Residual stage of open-angle glaucoma, unspecified eye",,,243,No,No,Yes,2018
H4310,"Vitreous hemorrhage, unspecified eye",122,122,,Yes,Yes,No,2018
H4311,"Vitreous hemorrhage, right eye",122,122,,Yes,Yes,No,2018
H4312,"Vitreous hemorrhage, left eye",122,122,,Yes,Yes,No,2018
H4313,"Vitreous hemorrhage, bilateral",122,122,,Yes,Yes,No,2018
H49811,"Kearns-Sayre syndrome, right eye",23,23,41,Yes,Yes,Yes,2018
H49812,"Kearns-Sayre syndrome, left eye",23,23,41,Yes,Yes,Yes,2018
H49813,"Kearns-Sayre syndrome, bilateral",23,23,41,Yes,Yes,Yes,2018
H49819,"Kearns-Sayre syndrome, unspecified eye",23,23,41,Yes,Yes,Yes,2018
I0981,Rheumatic heart failure,85,85,186,Yes,Yes,Yes,2018
I10,Essential (primary) hypertension,,,187,No,No,Yes,2018
I110,Hypertensive heart disease with heart failure,85,85,186,Yes,Yes,Yes,2018
I119,Hypertensive heart disease without heart failure,,,187,No,No,Yes,2018
I120,Hypertensive chronic kidney disease with stage 5 chronic kidney disease or end stage renal disease,136,136,187,Yes,Yes,Yes,2018
I120,Hypertensive chronic kidney disease with stage 5 chronic kidney disease or end stage renal disease,,,262,--,--,Yes,2018
I129,"Hypertensive chronic kidney disease with stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease",139,,187,Yes,No,Yes,2018
I130,"Hypertensive heart and chronic kidney disease with heart failure and stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease",85,85,186,Yes,Yes,Yes,2018
I130,"Hypertensive heart and chronic kidney disease with heart failure and stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease",139,,,Yes,--,--,2018
I1310,"Hypertensive heart and chronic kidney disease without heart failure, with stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease",139,,187,Yes,No,Yes,2018
I1311,"Hypertensive heart and chronic kidney disease without heart failure, with stage 5 chronic kidney disease, or end stage renal disease",136,136,187,Yes,Yes,Yes,2018
I1311,"Hypertensive heart and chronic kidney disease without heart failure, with stage 5 chronic kidney disease, or end stage renal disease",,,262,--,--,Yes,2018
I132,"Hypertensive heart and chronic kidney disease with heart failure and with stage 5 chronic kidney disease, or end stage renal disease",85,85,186,Yes,Yes,Yes,2018
I132,"Hypertensive heart and chronic kidney disease with heart failure and with stage 5 chronic kidney disease, or end stage renal disease",136,136,262,Yes,Yes,Yes,2018
I150,Renovascular hypertension,,,187,No,No,Yes,2018
I151,Hypertension secondary to other renal disorders,,,187,No,No,Yes,2018
I152,Hypertension secondary to endocrine disorders,,,187,No,No,Yes,2018
I158,Other secondary hypertension,,,187,No,No,Yes,2018
I159,"Secondary hypertension, unspecified",,,187,No,No,Yes,2018
I160,Hypertensive urgency,,,187,No,No,Yes,2018
I161,Hypertensive emergency,,,187,No,No,Yes,2018
I169,"Hypertensive crisis, unspecified",,,187,No,No,Yes,2018
I200,Unstable angina,87,87,188,Yes,Yes,Yes,2018
I201,Angina pectoris with documented spasm,88,88,188,Yes,Yes,Yes,2018
I208,Other forms of angina pectoris,88,88,188,Yes,Yes,Yes,2018
I209,"Angina pectoris, unspecified",88,88,188,Yes,Yes,Yes,2018
I2101,ST elevation (STEMI) myocardial infarction involving left main coronary artery,86,86,188,Yes,Yes,Yes,2018
I2102,ST elevation (STEMI) myocardial infarction involving left anterior descending coronary artery,86,86,188,Yes,Yes,Yes,2018
I2109,ST elevation (STEMI) myocardial infarction involving other coronary artery of anterior wall,86,86,188,Yes,Yes,Yes,2018
I2111,ST elevation (STEMI) myocardial infarction involving right coronary artery,86,86,188,Yes,Yes,Yes,2018
I2119,ST elevation (STEMI) myocardial infarction involving other coronary artery of inferior wall,86,86,188,Yes,Yes,Yes,2018
I2121,ST elevation (STEMI) myocardial infarction involving left circumflex coronary artery,86,86,188,Yes,Yes,Yes,2018
I2129,ST elevation (STEMI) myocardial infarction involving other sites,86,86,188,Yes,Yes,Yes,2018
I213,ST elevation (STEMI) myocardial infarction of unspecified site,86,86,188,Yes,Yes,Yes,2018
I214,Non-ST elevation (NSTEMI) myocardial infarction,86,86,188,Yes,Yes,Yes,2018
I219,"Acute myocardial infarction, unspecified",86,86,188,Yes,Yes,Yes,2018
I21A1,Myocardial infarction type 2,86,86,188,Yes,Yes,Yes,2018
I21A9,Other myocardial infarction type,86,86,188,Yes,Yes,Yes,2018
I220,Subsequent ST elevation (STEMI) myocardial infarction of anterior wall,86,86,188,Yes,Yes,Yes,2018
I221,Subsequent ST elevation (STEMI) myocardial infarction of inferior wall,86,86,188,Yes,Yes,Yes,2018
I222,Subsequent non-ST elevation (NSTEMI) myocardial infarction,86,86,188,Yes,Yes,Yes,2018
I228,Subsequent ST elevation (STEMI) myocardial infarction of other sites,86,86,188,Yes,Yes,Yes,2018
I229,Subsequent ST elevation (STEMI) myocardial infarction of unspecified site,86,86,188,Yes,Yes,Yes,2018
I230,Hemopericardium as current complication following acute myocardial infarction,87,87,188,Yes,Yes,Yes,2018
