compendium_hospital_id,ccn,hospital_name,hospital_street,hospital_city,hospital_state,hospital_zip,acutehosp_flag,health_sys_id,health_sys_name,health_sys_city,health_sys_state
CHSP00000927,450605,Care Regional Medical Center,1711 West Wheeler Avenue,Aransas Pass,TX,78336,1,,,,
CHSP00000928,232036,CareLink of Jackson,110 North Elm Avenue,Jackson,MI,49202,0,HSI00000475,Henry Ford Health System,Detroit,MI
CHSP00000932,343025,CarePartners Health Services,68 Sweeten Creek Road,Asheville,NC,28803,0,HSI00000691,Mission Health System,Asheville,NC
CHSP00000933,310016,CarePoint Health -Christ Hospital,176 Palisade Avenue,Jersey City,NJ,07306,1,HSI00000169,CarePoint Health,Jersey City,NJ
CHSP00000935,131309,Caribou Memorial Hospital and Living Center,300 South Third West,Soda Springs,ID,83276,1,,,,
CHSP00000936,490089,Carilion Franklin Memorial Hospital,180 Floyd Avenue,Rocky Mount,VA,24151,1,HSI00000170,Carilion Clinic,Roanoke,VA
CHSP00000937,491302,Carilion Giles Community Hospital,159 Hartley Way,Pearisburg,VA,24134,1,HSI00000170,Carilion Clinic,Roanoke,VA
CHSP00000938,490042,Carilion New River Valley Medical Center,2900 Lamb Circle,Christiansburg,VA,24073,1,HSI00000170,Carilion Clinic,Roanoke,VA
CHSP00000939,490024,Carilion Roanoke Memorial Hospital,Belleview At Jefferson Street,Roanoke,VA,24014,1,HSI00000170,Carilion Clinic,Roanoke,VA
CHSP00000942,491304,Carilion Stonewall Jackson Hospital,1 Health Circle,Lexington,VA,24450,1,HSI00000170,Carilion Clinic,Roanoke,VA
CHSP00000943,490117,Carilion Tazewell Community Hospital,141 Ben Bolt Avenue,Tazewell,VA,24651,1,HSI00000170,Carilion Clinic,Roanoke,VA
CHSP00000944,374006,Carl Albert Community Mental Health Center,1101 East Monroe Avenue,Mcalester,OK,74501,0,,,,
CHSP00000945,45070F,Carl R. Darnall Army Medical Center,36000 Darnall Loop,Fort Hood,TX,76544,0,,,,
CHSP00000946,11031F,Carl Vinson Veterans Affairs Medical Center,1826 Veterans Boulevard,Dublin,GA,31021,0,,,,
CHSP00000947,140091,Carle Foundation Hospital,611 West Park Street,Urbana,IL,61801,1,HSI00001074,The Carle Foundation,Urbana,IL
CHSP00000948,141316,Carle Hoopeston Regional Health Center,701 East Orange Street,Hoopeston,IL,60942,1,HSI00001074,The Carle Foundation,Urbana,IL
CHSP00000949,141347,Carlinville Area Hospital,20733 North Broad Street,Carlinville,IL,62626,1,,,,
CHSP00000950,390058,Carlisle Regional Medical Center,361 Alexander Spring Road,Carlisle,PA,17015,1,HSI00000249,"Community Health Systems, Inc",Franklin,TN
CHSP00000951,320063,Carlsbad Medical Center,2430 West Pierce Street,Carlsbad,NM,88220,1,HSI00000249,"Community Health Systems, Inc",Franklin,TN
CHSP00000952,371334,Carnegie Tri-County Municipal Hospital,102 North Broadway,Carnegie,OK,73015,1,,,,
CHSP00000953,220017,Carney Hospital,2100 Dorchester Avenue,Boston,MA,02124,1,HSI00001037,"Steward Health Care System, LLC",Boston,MA
CHSP00000954,234025,Caro Center,2000 Chambers Road,Caro,MI,48723,0,,,,
CHSP00000955,231329,Caro Community Hospital,401 North Hooper Street,Caro,MI,48723,1,,,,
CHSP00000956,340032,CaroMont Regional Medical Center,2525 Court Drive,Gastonia,NC,28054,1,HSI00000171,CaroMont Health System,Gastonia,NC
CHSP00000957,424010,Carolina Center for Behavioral Health,2700 East Phillips Road,Greer,SC,29650,0,HSI00001148,"Universal Health Services, Inc",Norristown,PA
CHSP00000958,420010,Carolina Pines Regional Medical Center,1304 West Bobo Newsom Highway,Hartsville,SC,29550,1,HSI00000862,RCCH HealthCare Partners,Brentwood,TN
CHSP00000960,340131,CarolinaEast Health System,2000 Neuse Boulevard,New Bern,NC,28560,1,HSI00000172,CarolinaEast Health System,New Bern,NC
CHSP00000962,,Carolinas ContinueCARE Hosp Kng,Po Box 159,Kings Mountain,NC,28086,0,HSI00000173,Carolinas HealthCare System,Charlotte,NC
CHSP00000963,342019,Carolinas ContinueCARE Hospital at Kings Mountain,"706 West King Street, 2nd Floor",Kings Mountain,NC,28086,0,HSI00000251,Community Hospital Corporation,Plano,TX
CHSP00000964,342015,Carolinas ContinueCARE Hospital at Pineville,10648 Park Road,Charlotte,NC,28210,1,HSI00000251,Community Hospital Corporation,Plano,TX
CHSP00000967,340084,Carolinas HealthCare System Anson,2301 U.S Highway 74 West,Wadesboro,NC,28170,1,HSI00000173,Carolinas HealthCare System,Charlotte,NC
CHSP00000969,340145,Carolinas HealthCare System Lincoln,433 Mcalister Road,Lincolnton,NC,28092,1,HSI00000173,Carolinas HealthCare System,Charlotte,NC
CHSP00000970,340001,Carolinas HealthCare System NorthEast,920 Church Street North,Concord,NC,28025,1,HSI00000173,Carolinas HealthCare System,Charlotte,NC
CHSP00000971,340075,Carolinas Healthcare System Blue Ridge,2201 South Sterling Street,Morganton,NC,28655,1,HSI00000173,Carolinas HealthCare System,Charlotte,NC
CHSP00000972,340055,Carolinas Healthcare System Blue Ridge,720 Malcolm Blvd,Valdese,NC,28690,1,HSI00000173,Carolinas HealthCare System,Charlotte,NC
CHSP00000973,340098,Carolinas Healthcare System Pineville,10628 Park Road,Charlotte,NC,28210,1,HSI00000173,Carolinas HealthCare System,Charlotte,NC
CHSP00000974,340130,Carolinas Healthcare System Union,600 Hospital Drive,Monroe,NC,28112,1,HSI00000173,Carolinas HealthCare System,Charlotte,NC
CHSP00000975,420091,Carolinas Hospital System,805 Pamplico Highway,Florence,SC,29505,1,HSI00000249,"Community Health Systems, Inc",Franklin,TN
CHSP00000976,420055,Carolinas Hospital System Marion,2829 East Highway 76,Mullins,SC,29574,1,HSI00000249,"Community Health Systems, Inc",Franklin,TN
CHSP00000977,340113,Carolinas Medical Center,1000 Blythe Boulevard,Charlotte,NC,28203,1,HSI00000173,Carolinas HealthCare System,Charlotte,NC
CHSP00000978,,Carolinas Medical Center Mercy,2001 Vail Ave,Charlotte,NC,28207,1,HSI00000173,Carolinas HealthCare System,Charlotte,NC
CHSP00000979,340166,Carolinas Medical Center-University,8800 North Tryon Street,Charlotte,NC,28262,1,HSI00000173,Carolinas HealthCare System,Charlotte,NC
CHSP00000980,343026,Carolinas Rehabilitation,1100 Blythe Boulevard,Charlotte,NC,28203,1,HSI00000173,Carolinas HealthCare System,Charlotte,NC
CHSP00000985,030100,Carondelet Heart and Vascular Institute,1601 W Saint Marys Rd,Tucson,AZ,85745,0,HSI00001066,Tenet Healthcare Corporation,Dallas,TX
CHSP00000986,031313,Carondelet Holy Cross Hospital,1171 West Target Range Road,Nogales,AZ,85621,1,HSI00000055,Ascension Health,Saint Louis,MO
CHSP00000987,030011,Carondelet St. Joseph's Hospital,350 North Wilmot Road,Tucson,AZ,85711,1,HSI00000055,Ascension Health,Saint Louis,MO
CHSP00000988,030010,Carondelet St. Mary's Hospital,1601 West St Mary's Road,Tucson,AZ,85745,1,HSI00000055,Ascension Health,Saint Louis,MO
CHSP00000990,314012,Carrier Clinic,252 County Route 601,Belle Mead,NJ,08502,0,,,,
CHSP00000991,181310,Carroll County Memorial Hospital,309 11th Street,Carrollton,KY,41008,1,,,,
CHSP00000992,261332,Carroll County Memorial Hospital,1502 North Jefferson Street,Carrollton,MO,64633,1,,,,
CHSP00000993,210033,Carroll Hospital,200 Memorial Avenue,Westminster,MD,21157,1,HSI00000582,"LifeBridge Health, Inc",Baltimore,MD
CHSP00000994,454119,Carrollton Springs,2225 Parker Road,Carrollton,TX,75010,0,,,,
CHSP00000995,673041,Carrus Rehabilitation Hospital,"1810 West Us Highway 82, Suite 100",Sherman,TX,75092,0,,,,
CHSP00000996,452041,Carrus Specialty Hospital,1810 West Us Highway 82,Sherman,TX,75092,0,,,,
CHSP00000997,292008,Carson Tahoe Continuing Care Hospital,775 Fleischmann Way,Carson City,NV,89703,0,HSI00000178,Carson Tahoe Health,Carson City,NV
CHSP00000998,290019,Carson Tahoe Health,1600 Medical Parkway,Carson City,NV,89703,1,HSI00000178,Carson Tahoe Health,Carson City,NV
CHSP00000999,293029,Carson Tahoe Regional Healthcare Rehabilitation Center,1600 Medical Pkwy,Carson City,NV,89703,0,HSI00000178,Carson Tahoe Health,Carson City,NV
CHSP00001000,291306,Carson Valley Medical Center,1107 Highway 395,Gardnerville,NV,89410,1,HSI00000086,Barton HealthCare System,South Lake Tahoe,CA
CHSP00001001,340142,Carteret Health Care,3500 Arendell Street,Morehead City,NC,28557,1,,,,
CHSP00001002,110030,Cartersville Medical Center,960 Joe Frank Harris Parkway,Cartersville,GA,30120,1,HSI00000492,HCA,Nashville,TN
CHSP00001003,331318,Carthage Area Hospital,1001 West Street,Carthage,NY,13619,1,,,,
CHSP00001004,200031,Cary Medical Center,"163 Van Buren Road, Suite 1",Caribou,ME,04736,1,,,,
CHSP00001005,053027,Casa Colina Hospital and Health Systems,255 East Bonita Avenue,Pomona,CA,91767,0,,,,
CHSP00001007,131308,Cascade Medical Center,402 Lake Cascade Pkwy,Cascade,ID,83611,1,,,,
CHSP00001008,501313,Cascade Medical Center,817 Commercial Street,Leavenworth,WA,98826,1,,,,
CHSP00001009,500060,Cascade Valley Hospital and Clinics,330 South Stillaguamish Avenue,Arlington,WA,98223,1,,,,
CHSP00001010,181309,Casey County Hospital,187 Wolford Avenue,Liberty,KY,42539,1,,,,
CHSP00001011,161376,Cass County Memorial Hospital,1501 East Tenth Street,Atlantic,IA,50022,1,,,,
CHSP00001012,261324,Cass Regional Medical Center,2800 East Rock Haven Road,Harrisonville,MO,64701,1,HSI00000492,HCA,Nashville,TN
CHSP00001013,131326,Cassia Regional Medical Center,1501 Hiland Avenue,Burley,ID,83318,1,HSI00000516,Intermountain Healthcare,Salt Lake City,UT
CHSP00001015,120006,Castle Medical Center,640 Ulukahiki Street,Kailua,HI,96734,1,HSI00000011,Adventist Health,Roseville,CA
CHSP00001016,060125,Castle Rock Adventist Hospital,2350 Meadows Boulevard,Castle Rock,CO,80109,1,HSI00000183,Catholic Health Initiatives,Englewood,CO
CHSP00001017,460011,Castleview Hospital,300 North Hospital Drive,Price,UT,84501,1,HSI00000584,LifePoint Health,Brentwood,TN
CHSP00001018,,Caswell Developmental Center,2415 W Vernon Ave,Kinston,NC,28504,0,,,,
CHSP00001019,051307,Catalina Island Medical Center,100 Falls Canyon Road,Avalon,CA,90704,1,,,,
CHSP00001020,490135,Catawba Hospital,5525 Catawba Hospital Drive,Catawba,VA,24070,0,,,,
CHSP00001021,340143,Catawba Valley Medical Center,810 Fairgrove Church Road Se,Hickory,NC,28602,1,HSI00000182,Catawba Valley Medical Center,Hickory,NC
CHSP00001022,300034,Catholic Medical Center,100 Mcgregor Street,Manchester,NH,03102,1,HSI00000188,Catholic Medical Center,Manchester,NH
CHSP00001023,330386,Catskill Regional Medical Center,68 Harris Bushville Road,Harris,NY,12742,1,HSI00000423,Greater Hudson Valley Health System,Middletown,NY
CHSP00001024,351323,Cavalier County Memorial Hospital and Clinics,909 Second Street,Langdon,ND,58249,1,,,,
CHSP00001026,330307,Cayuga Medical Center at Ithaca,101 Dates Drive,Ithaca,NY,14850,1,HSI00000189,Cayuga Medical Center,Ithaca,NY
CHSP00001027,460007,Cedar City Hospital,1303 North Main Street,Cedar City,UT,84721,1,HSI00000516,Intermountain Healthcare,Salt Lake City,UT
CHSP00001028,261323,Cedar County Memorial Hospital,1401 South Park Street,El Dorado Springs,MO,64744,1,,,,
CHSP00001029,454114,Cedar Crest Hospital and Residential Treatment Center,3500 I-35 South,Belton,TX,76513,0,,,,
CHSP00001032,670043,Cedar Park Regional Medical Center,1401 Medical Parkway,Cedar Park,TX,78613,1,HSI00000249,"Community Health Systems, Inc",Franklin,TN
CHSP00001034,374023,Cedar Ridge Hospital,6501 Ne 50th Street,Oklahoma City,OK,73141,0,HSI00001148,"Universal Health Services, Inc",Norristown,PA
CHSP00001035,064009,Cedar Springs Hospital,2135 Southgate Road,Colorado Springs,CO,80906,0,HSI00001148,"Universal Health Services, Inc",Norristown,PA
CHSP00001036,050625,Cedars-Sinai Medical Center,8700 Beverly Boulevard,Los Angeles,CA,90048,1,HSI00000190,Cedars-Sinai Health System,West Hollywood,CA
CHSP00001037,140116,Centegra Hospital - McHenry,4201 Medical Center Drive,Mchenry,IL,60050,1,HSI00000191,Centegra Health System,Crystal Lake,IL
CHSP00001038,140176,Centegra Hospital - Woodstock,3701 Doty Road,Woodstock,IL,60098,1,HSI00000191,Centegra Health System,Crystal Lake,IL
CHSP00001040,290054,Centennial Hills Hospital Medical Center,6900 North Durango Drive,Las Vegas,NV,89149,1,HSI00001148,"Universal Health Services, Inc",Norristown,PA
CHSP00001041,450885,Centennial Medical Center,12505 Lebanon Road,Frisco,TX,75035,1,HSI00001066,Tenet Healthcare Corporation,Dallas,TX
CHSP00001042,064007,Centennial Peaks Hospital,2255 South 88th Street,Louisville,CO,80027,0,HSI00001148,"Universal Health Services, Inc",Norristown,PA
CHSP00001043,264008,Center for Behavioral Medicine,1000 East 24th Street,Kansas City,MO,64108,1,,,,
CHSP00001045,234041,Center for Forensic Psychiatry,8303 Platt Rd,Saline,MI,48176,0,,,,
CHSP00001046,264012,CenterPointe Hospital,4801 Weldon Spring Parkway,Saint Charles,MO,63304,0,,,,
CHSP00001047,260095,Centerpoint Medical Center,19600 East 39th Street,Independence,MO,64057,1,HSI00000492,HCA,Nashville,TN
CHSP00001048,104040,Centerstone Hospital,2020 26th Avenue East,Bradenton,FL,34208,0,,,,
CHSP00001049,050739,Centinela Hospital Medical Center,555 East Hardy Street,Inglewood,CA,90301,1,HSI00000845,"Prime Healthcare Services, Inc",Ontario,CA
CHSP00001050,,Centra Lynchburg General Hosp,1901 Tate Springs Rd,Lynchburg,VA,24501,1,HSI00000192,Centra Health,Lynchburg,VA
CHSP00001051,490021,Centra Lynchburg General Hospital,1920 Atherholt Road,Lynchburg,VA,24501,1,HSI00000192,Centra Health,Lynchburg,VA
CHSP00001052,490090,Centra Southside Community Hospital,800 Oak Street,Farmville,VA,23901,1,HSI00000192,Centra Health,Lynchburg,VA
CHSP00001053,492010,Centra Specialty Hospital,3300 Rivermont Avenue,Lynchburg,VA,24503,0,HSI00000192,Centra Health,Lynchburg,VA
CHSP00001054,490138,Centra Virginia Baptist Hospital,3300 Rivermont Ave,Lynchburg,VA,24503,1,HSI00000192,Centra Health,Lynchburg,VA
CHSP00001055,241326,CentraCare Health-Long Prairie,20 Ninth Street Se,Long Prairie,MN,56347,1,HSI00000193,CentraCare Health System,Saint Cloud,MN
CHSP00001056,241330,CentraCare Health-Melrose,525 Main Street West,Melrose,MN,56352,1,HSI00000193,CentraCare Health System,Saint Cloud,MN
CHSP00001057,241362,CentraCare Health-Monticello,1013 Hart Boulevard,Monticello,MN,55362,1,HSI00000193,CentraCare Health System,Saint Cloud,MN
CHSP00001058,241349,CentraCare Health-Paynesville,200 West 1st Street,Paynesville,MN,56362,1,HSI00000193,CentraCare Health System,Saint Cloud,MN
CHSP00001059,241368,CentraCare Health-Sauk Centre,425 North Elm Street,Sauk Centre,MN,56378,1,HSI00000193,CentraCare Health System,Saint Cloud,MN
CHSP00001060,310111,CentraState Healthcare System,901 West Main Street,Freehold,NJ,07728,1,HSI00000194,CentraState Healthcare System,Freehold,NJ
CHSP00001061,,Central Alabama Veterans Health,2400 Hosp Rd,Tuskegee,AL,36083,0,,,,
CHSP00001062,01019F,Central Alabama Veterans Health Care System,215 Perry Hill Road,Montgomery,AL,36109,0,,,,
CHSP00001063,01022F,Central Alabama Veterans Health Care System East Campus,2400 Hospital Rd,Tuskegee,AL,36083,0,,,,
CHSP00001064,04010F,Central Arkansas Veterans Healthcare System,4300 West Seventh Street,Little Rock,AR,72205,1,,,,
CHSP00001066,340020,Central Carolina Hospital,1135 Carthage Street,Sanford,NC,27330,1,HSI00000584,LifePoint Health,Brentwood,TN
CHSP00001067,161319,Central Community Hospital,901 Davidson Street Nw,Elkader,IA,52043,1,HSI00001106,Trinity Health,Livonia,MI
CHSP00001069,104072,Central Florida Behavioral Hospital,6601 Central Florida Parkway,Orlando,FL,32821,0,HSI00001148,"Universal Health Services, Inc",Norristown,PA
CHSP00001070,100161,Central Florida Regional Hospital,1401 West Seminole Boulevard,Sanford,FL,32771,1,HSI00000492,HCA,Nashville,TN
CHSP00001072,160001,Central Iowa Healthcare,3 South Fourth Avenue,Marshalltown,IA,50158,1,,,,
CHSP00001073,194025,Central Louisiana State Hospital,242 West Shamrock Avenue,Pineville,LA,71360,0,,,,
CHSP00001074,190298,Central Louisiana Surgical Hospital,651 North Bolton Avenue,Alexandria,LA,71301,1,,,,
CHSP00001075,200024,Central Maine Medical Center,300 Main Street,Lewiston,ME,04240,1,HSI00000197,Central Maine Healthcare,Lewiston,ME
CHSP00001076,271345,Central Montana Medical Center,408 Wendell Avenue,Lewistown,MT,59457,1,,,,
CHSP00001077,,Central New York Psychiatric Center,9005 Old River Road,Marcy,NY,13403,0,,,,
CHSP00001078,020024,Central Peninsula Hospital,250 Hospital Place,Soldotna,AK,99669,1,,,,
CHSP00001079,,Central Prison Hospital,1300 Western Boulevard,Raleigh,NC,27606,0,,,,
CHSP00001080,344004,Central Regional Hospital,300 Veazey Road,Butner,NC,27509,0,,,,
CHSP00001081,,Central State Hospital,26317 West Washington Street,Petersburg,VA,23803,0,,,,
CHSP00001082,,Central State Hospital,620 Broad Street,Milledgeville,GA,31062,0,,,,
CHSP00001083,184015,Central State Hospital,10510 Lagrange Road,Louisville,KY,40223,1,,,,
CHSP00001084,450272,Central Texas Medical Center,1301 Wonder World Drive,San Marcos,TX,78666,1,HSI00000010,Adventist Health System,Altamonte Springs,FL
CHSP00001085,673027,Central Texas Rehabilitation Hospital,700 West 45th Street,Austin,TX,78751,0,,,,
CHSP00001086,45086F,Central Texas Veterans Health Care System,1901 Veterans Memorial Drive,Temple,TX,76504,0,,,,
CHSP00001087,45088F,Central Texas Veterans Health Care System Waco VA Medical Center,4800 Memorial Dr,Beverly Hills,TX,76711,0,,,,
CHSP00001088,050196,Central Valley General Hospital,1025 North Douty Street,Hanford,CA,93230,1,HSI00000011,Adventist Health,Roseville,CA
CHSP00001089,461304,Central Valley Medical Center,48 West 1500 North,Nephi,UT,84648,1,,,,
CHSP00001091,490108,Central Virginia Training Center,210 East Colony Road,Madison Heights,VA,24572,0,,,,
CHSP00001095,281341,Chadron Community Hospital and Health Services,825 Centennial Drive,Chadron,NE,69337,1,HSI00000868,Regional Health,Rapid City,SD
CHSP00001096,451320,Chambers County Public Hospital District No. 1,200 Hospital Drive,Anahuac,TX,77514,1,,,,
CHSP00001097,040011,Chambers Memorial Hospital,Highway 10 At Detroit,Danville,AR,72833,1,,,,
CHSP00001098,390151,Chambersburg Hospital,112 North Seventh Street,Chambersburg,PA,17201,1,HSI00001045,Summit Health,Chambersburg,PA
CHSP00001099,390112,Chan Soon-Shiong Medical Center,600 Somerset Avenue,Windber,PA,15963,1,,,,
CHSP00001100,030036,Chandler Regional Medical Center,1955 West Frye Road,Chandler,AZ,85224,1,HSI00000314,Dignity Health,San Francisco,CA
CHSP00001101,034027,ChangePoint Integrated Health,1920 Commerce Park Dr,Lakeside,AZ,85929,0,,,,
CHSP00001102,050745,Chapman Global Medical Center,2601 East Chapman Avenue,Orange,CA,92869,1,,,,
CHSP00001103,341323,Charles A. Cannon Memorial Hospital,434 Hospital Drive,Newland,NC,28646,1,HSI00000042,Appalachian Regional Healthcare System,Boone,NC
CHSP00001104,201301,Charles A. Dean Memorial Hospital,364 Pritham Avenue,Greenville,ME,04441,1,HSI00000330,Eastern Maine Healthcare Systems,Brewer,ME
CHSP00001105,34036F,Charles George Veterans Affairs Medical Center,1100 Tunnel Road,Asheville,NC,28805,0,,,,
CHSP00001106,510022,Charleston Area Medical Center,501 Morris Street,Charleston,WV,25301,1,HSI00000147,"CAMC Health System, Inc",Charleston,WV
CHSP00001107,,Charleston Area Medical Ctr Mem,Po Box 1547,Charleston,WV,25326,1,HSI00000147,"CAMC Health System, Inc",Charleston,WV
CHSP00001110,11030F,Charlie Norwood Veterans Affairs Medical Center,1 Freedom Way,Augusta,GA,30904,0,,,,
CHSP00001111,281351,Chase County Community Hospital,600 West 12th Street,Imperial,NE,69033,1,,,,
CHSP00001112,341311,Chatham Hospital,475 Progress Boulevard,Siler City,NC,27344,1,HSI00001123,UNC Health Care System,Chapel Hill,NC
CHSP00001113,111324,Chatuge Regional Hospital and Nursing Home,110 Main Street,Hiawassee,GA,30546,1,,,,
CHSP00001114,340156,Cherokee Indian Hospital,1 Hospital Road,Cherokee,NC,28719,1,,,,
CHSP00001115,010022,Cherokee Medical Center,400 Northwood Drive,Centre,AL,35960,1,,,,
CHSP00001116,370171,Cherokee Nation W.W. Hastings Indian Hospital,100 South Bliss Avenue,Tahlequah,OK,74464,0,,,,
CHSP00001117,161362,Cherokee Regional Medical Center,300 Sioux Valley Drive,Cherokee,IA,51012,1,,,,
CHSP00001118,281344,Cherry County Hospital,510 North Green Street,Valentine,NE,69201,1,,,,
CHSP00001119,344026,Cherry Hospital,201 Stevens Mill Road,Goldsboro,NC,27530,0,,,,
CHSP00001120,490120,Chesapeake Regional Healthcare,736 Battlefield Boulevard North,Chesapeake,VA,23320,1,HSI00000205,Chesapeake Regional Medical Center,Chesapeake,VA
CHSP00001121,300019,Cheshire Medical Center,580 Court Street,Keene,NH,03431,1,HSI00000299,Dartmouth-Hitchcock,Lebanon,NH
CHSP00001122,110187,Chestatee Regional Hospital,227 Mountain Drive,Dahlonega,GA,30533,1,,,,
CHSP00001123,,Chester Mental Health Center,Chester Road,Chester,IL,62233,0,,,,
CHSP00001124,420019,Chester Regional Medical Center,1 Medical Park Drive,Chester,SC,29706,1,HSI00000249,"Community Health Systems, Inc",Franklin,TN
CHSP00001125,390026,Chestnut Hill Hospital,8835 Germantown Avenue,Philadelphia,PA,19118,1,HSI00000249,"Community Health Systems, Inc",Franklin,TN
CHSP00001126,,Chestnut Ridge Center,930 Chestnut Ridge Rd,Morgantown,WV,26505,0,HSI00001251,"West Virginia United Health System, Inc",Fairmont,WV
CHSP00001127,171310,Cheyenne County Hospital,210 West First Street,Saint Francis,KS,67756,1,,,,
CHSP00001128,530014,Cheyenne Regional Medical Center,214 East 23rd Street,Cheyenne,WY,82001,1,,,,
CHSP00001130,53004F,Cheyenne Veterans Affairs Medical Center,2360 East Pershing Boulevard,Cheyenne,WY,82001,0,,,,
CHSP00001131,,Chicago Behavioral Hospital,555 Wilson Lane,Des Plaines,IL,60016,0,,,,
CHSP00001132,,Chicago Childrens Center for Behavioral Health,1431 N Claremont Ave,Chicago,IL,60622,1,HSI00000844,Presence Health,Chicago,IL
CHSP00001133,144005,Chicago Lakeshore Hospital,4840 North Marine Drive,Chicago,IL,60640,0,,,,
CHSP00001134,144010,Chicago-Read Mental Health Center,4200 North Oak Park Avenue,Chicago,IL,60634,0,,,,
CHSP00001135,370180,Chickasaw Nation Medical Center,1921 Stonecipher Drive,Ada,OK,74820,0,,,,
CHSP00001137,041328,Chicot Memorial Medical Center,2729 Highway 65 And 82 South,Lake Village,AR,71653,1,,,,
CHSP00001138,244005,Child and Adolescent Behavioral Health Services,1701 Technology Drive Northeast,Willmar,MN,56201,0,,,,
CHSP00001141,453302,Children's Health System of Texas,1935 Medical District Drive,Dallas,TX,75235,1,HSI00000208,Childrens Health,Dallas,TX
CHSP00001142,113301,Children's Healthcare of Atlanta,"1600 Tullie Circle, Ne",Atlanta,GA,30329,1,HSI00000209,Childrens Healthcare of Atlanta,Atlanta,GA
CHSP00001143,,Children's Hlthcr Atlnta Scttsh,1001 Johnson Ferry Rd,Atlanta,GA,30342,1,HSI00000209,Childrens Healthcare of Atlanta,Atlanta,GA
CHSP00001144,193300,Children's Hospital,200 Henry Clay Avenue,New Orleans,LA,70118,1,HSI00000555,LCMC Health System,New Orleans,LA
CHSP00001145,063301,Children's Hospital Colorado,13123 East 16th Avenue,Aurora,CO,80045,1,HSI00001169,University of Colorado Health,Aurora,CO
CHSP00001146,053302,Children's Hospital Los Angeles,4650 West Sunset Boulevard,Los Angeles,CA,90027,1,HSI00000210,Childrens Hospital Los Angeles,Los Angeles,CA
CHSP00001147,283301,Children's Hospital and Medical Center,8200 Dodge St,Omaha,NE,68114,1,HSI00000213,Childrens Hospital and Medical Center,Omaha,NE
CHSP00001148,053304,Children's Hospital of Orange County,1201 West La Veta Avenue,Orange,CA,92868,1,HSI00000214,Childrens Hospital of Orange County,Orange,CA
CHSP00001149,393303,Children's Hospital of Philadelphia,3401 Civic Center Boulevard,Philadelphia,PA,19104,1,HSI00001075,The Childrens Hospital of Philadelphia,Philadelphia,PA
CHSP00001150,393302,Children's Hospital of Pittsburgh of UPMC,One Children's Hospital Drive,Pittsburgh,PA,15224,1,HSI00001126,UPMC,Pittsburgh,PA
CHSP00001151,493302,Children's Hospital of Richmond at VCU-Brook Road Campus,2924 Brook Road,Richmond,VA,23220,1,HSI00001213,VCU Health System,Richmond,VA
CHSP00001152,493301,Children's Hospital of The King's Daughters,601 Children's Lane,Norfolk,VA,23507,1,HSI00000215,"Childrens Hospital of the Kings Daughters, Inc",Norfolk,VA
CHSP00001153,523300,Children's Hospital of Wisconsin,9000 West Wisconsin Avenue,Milwaukee,WI,53226,1,HSI00000212,Childrens Hospital and Health System,Wauwatosa,WI
CHSP00001154,523302,Children's Hospital of Wisconsin-Fox Valley,130 Second Street,Neenah,WI,54956,1,HSI00000212,Childrens Hospital and Health System,Wauwatosa,WI
CHSP00001155,243302,Children's Hospitals and Clinics of Minnesota,2525 Chicago Avenue South,Minneapolis,MN,55404,1,HSI00000207,Children's Hospitals & Clinics Of Minnesota,Minneapolis,MN
CHSP00001156,363306,Children's Medical Center,One Children's Plaza,Dayton,OH,45404,1,HSI00000302,Dayton Childrens,Dayton,OH
CHSP00001157,,Children's Medical Center Plano,7601 Preston Road,Plano,TX,75024,1,HSI00000208,Childrens Health,Dallas,TX
CHSP00001158,263302,Children's Mercy Hospitals and Clinics,2401 Gillham Road,Kansas City,MO,64108,1,HSI00001076,The Childrens Mercy Hospitals and Clinics,Kansas City,MO
CHSP00001159,173300,Children's Mercy South,5808 West 110th Street,Overland Park,KS,66211,1,HSI00001076,The Childrens Mercy Hospitals and Clinics,Kansas City,MO
CHSP00001160,093300,Children's National Health System,111 Michigan Avenue Nw,Washington,DC,20010,1,HSI00000216,Childrens National Medical Center,Washington,DC
CHSP00001162,,Children's Recovery Center OK,320 12th Ave Ne,Norman,OK,73071,1,,,,
CHSP00001163,,Children's Specialized Hospital,94 Stevens Rd # 2,Toms River,NJ,08755,1,HSI00000863,RWJBarnabas Health,West Orange,NJ
CHSP00001164,313300,Children's Specialized Hospital-PSE&G,200 Somerset Street,New Brunswick,NJ,08901,0,HSI00000863,RWJBarnabas Health,West Orange,NJ
CHSP00001166,013300,Children's of Alabama,1600 Seventh Avenue South,Birmingham,AL,35233,1,HSI00000217,Childrens of Alabama,Birmingham,AL
CHSP00001167,433300,Childrens Care Hospital and School,2501 West 26th Street,Sioux Falls,SD,57105,1,,,,
CHSP00001168,113300,Childrens Healthcare of Atlanta at Egleston,1405 Clifton Rd Ne,Atlanta,GA,30322,1,HSI00000209,Childrens Healthcare of Atlanta,Atlanta,GA
CHSP00001174,,Childrens Hospital at Greenville Hospital System,701 Grove Rd,Greenville,SC,29605,1,HSI00000424,Greenville Health System,Greenville,SC
CHSP00001178,453305,Childrens Hospital of San Antonio,333 N Santa Rosa St,San Antonio,TX,78207,1,HSI00000152,CHRISTUS Health,Irving,TX
CHSP00001183,450369,Childress Regional Medical Center,Highway 83 North,Childress,TX,79201,1,,,,
